"","life_satisfaction","household_size","house_owned","live_with_partner","no_child","house"
"454",9,2,1,0,1,1
"455",8,3,1,0,1,1
"456",8,2,0,0,1,0
"457",10,2,1,1,1,1
"458",9,1,1,0,1,1
"459",8,1,1,0,1,0
"460",10,3,0,0,1,0
"461",7,1,1,0,1,1
"462",9,3,1,0,1,1
"463",9,4,1,0,1,0
"464",6,1,1,0,1,1
"465",8,5,1,1,0,1
"466",8,2,1,0,1,1
"467",8,2,1,0,1,0
"468",8,2,1,0,1,0
"469",10,5,0,1,0,1
"470",9,2,0,0,1,0
"471",10,6,0,0,0,1
"472",8,2,0,1,1,0
"473",10,4,1,0,0,1
"474",10,2,1,0,1,1
"475",8,3,1,0,0,1
"476",9,2,1,0,1,1
"477",10,3,1,0,1,1
"478",9,2,0,0,1,0
"479",10,1,0,0,1,0
"480",6,1,1,0,1,1
"481",8,2,1,0,1,1
"482",6,2,1,0,1,0
"483",8,4,1,0,0,1
"484",7,3,1,0,1,1
"485",8,2,1,1,1,1
"486",7,2,0,0,1,0
"487",9,1,0,0,1,0
"488",7,1,0,0,1,0
"489",7,2,1,0,1,1
"490",7,3,1,0,1,1
"491",6,4,0,0,1,1
"492",7,5,1,0,0,0
"493",8,4,1,0,0,1
"494",7,4,1,0,0,1
"495",10,6,1,0,0,1
"496",7,1,1,0,1,1
"497",9,3,1,0,1,1
"498",9,1,0,0,1,0
"499",9,1,1,0,1,1
"500",8,4,1,1,0,1
"501",7,2,0,0,1,0
"502",7,1,0,0,1,0
"503",7,1,0,0,1,1
"504",4,1,1,0,1,0
"505",1,3,1,0,0,1
"506",10,2,1,0,1,1
"507",8,1,0,0,1,0
"508",7,3,1,0,1,0
"509",7,4,0,0,0,0
"510",8,3,1,0,0,1
"511",10,4,1,0,0,1
"512",5,4,1,0,1,1
"513",8,2,0,1,1,0
"514",8,1,0,0,1,0
"515",7,1,1,0,1,1
"516",8,2,1,0,1,1
"517",8,6,1,1,0,1
"518",6,2,0,0,1,0
"519",8,2,1,0,1,1
"520",8,1,1,0,1,1
"521",4,4,1,0,0,1
"522",5,2,1,0,1,0
"523",8,2,1,0,1,1
"524",8,2,1,1,1,1
"525",6,1,1,0,1,1
"526",10,2,1,0,1,0
"527",10,2,1,0,1,1
"528",8,3,1,0,0,1
"529",5,2,1,0,1,0
"530",8,2,0,0,1,0
"531",10,1,0,0,1,0
"532",10,2,1,0,1,1
"533",8,4,1,0,1,1
"534",10,2,1,0,1,1
"535",7,2,1,0,1,0
"536",10,2,1,0,1,1
"537",7,3,0,0,0,0
"538",7,3,1,0,0,1
"539",8,2,1,0,1,1
"540",2,1,0,0,1,0
"541",5,2,1,0,1,1
"542",10,2,1,0,1,1
"543",9,4,1,0,0,1
"544",10,3,1,0,1,1
"545",8,2,1,0,1,1
"546",8,5,1,0,0,1
"547",9,3,1,1,1,1
"548",8,1,1,0,1,1
"549",8,2,0,0,1,0
"550",6,2,1,0,1,1
"551",8,2,1,1,1,1
"552",7,4,1,0,0,1
"553",8,4,1,0,0,1
"554",8,2,0,0,1,1
"555",9,2,1,0,1,0
"556",7,4,1,0,1,1
"557",8,2,1,0,1,1
"558",10,5,0,0,0,1
"559",6,1,0,0,1,0
"560",9,4,1,1,0,1
"561",8,1,0,0,1,0
"562",8,1,1,0,1,1
"563",9,2,1,0,1,1
"564",8,2,0,1,1,NA
"565",8,2,1,0,1,1
"566",7,3,0,0,0,0
"567",5,1,0,0,1,0
"568",7,2,1,0,1,1
"569",10,1,1,0,1,1
"570",10,1,1,0,1,1
"571",10,2,1,0,1,1
"572",8,4,1,0,0,1
"573",9,2,1,0,1,1
"574",8,1,0,0,1,0
"575",8,4,1,0,0,1
"576",7,2,1,0,1,1
"577",3,1,1,0,1,1
"578",7,3,0,0,0,0
"579",10,4,1,0,1,1
"580",7,1,1,0,1,1
"581",10,3,1,0,1,1
"582",10,2,1,0,1,1
"583",8,5,1,1,0,1
"584",6,2,1,0,1,0
"585",10,3,1,0,1,1
"586",7,2,1,1,1,1
"587",8,2,1,0,1,1
"588",10,2,1,1,1,1
"589",9,2,0,0,1,0
"590",8,1,0,0,1,0
"591",7,2,1,0,1,1
"592",8,3,0,0,0,1
"593",2,2,0,0,1,0
"594",10,1,0,0,1,0
"595",7,1,0,0,1,0
"596",7,2,1,0,1,0
"597",9,2,1,0,1,1
"598",10,1,1,0,1,1
